Scenario,Value,Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Train Time (s),Predict Time (s)
Split Ratio,70/30,Logistic Regression,0.9985333333333334,0.9983690587138863,0.9990673816740498,0.9987180981237618,0.999976056454922,0.04993581771850586,0.0
Split Ratio,70/30,Random Forest,0.9994,0.9990681421083285,0.9998834227092562,0.9994756161510225,0.9999983571714711,0.2617475986480713,0.029050588607788086
Split Ratio,70/30,LightGBM,0.9999333333333333,0.9998834362979369,1.0,0.9999417147519962,0.9999999455415958,0.353013277053833,0.015117883682250977
Split Ratio,80/20,Logistic Regression,0.9984,0.9984268484530676,0.9987760097919217,0.9986013986013986,0.999986071990491,0.050438642501831055,0.0
Split Ratio,80/20,Random Forest,0.9998,0.9996504107673484,1.0,0.9998251748251749,0.9999995507093707,0.28764843940734863,0.02824878692626953
Split Ratio,80/20,LightGBM,1.0,1.0,1.0,1.0,1.0,0.34539318084716797,0.008362770080566406
Split Ratio,90/10,Logistic Regression,0.9978,0.9975541579315165,0.9986009094088842,0.998077259220416,0.9999906879771494,0.062256574630737305,0.000507354736328125
Split Ratio,90/10,Random Forest,0.9998,0.9996503496503496,1.0,0.9998251442559888,0.9999988564182464,0.3139770030975342,0.027676105499267578
Split Ratio,90/10,LightGBM,1.0,1.0,1.0,1.0,1.0,0.36355018615722656,0.006844758987426758
Feature Count,K=15,Logistic Regression,0.9943,0.9952764170748776,0.9947543276796643,0.995015303891561,0.9996136304810854,0.04761981964111328,0.0
Feature Count,K=15,Random Forest,0.9968,0.9973762462830156,0.9970274523518098,0.9972018188177685,0.9999241311505487,0.2589132785797119,0.03195476531982422
Feature Count,K=15,LightGBM,0.9969,0.9973767051416579,0.997202308095821,0.9972894989944916,0.9999417760189004,0.36685752868652344,0.011558771133422852
Feature Count,K=30,Logistic Regression,0.9987,0.9987762237762238,0.9989508655359328,0.998863537022467,0.9999850100308216,0.06419086456298828,0.0
Feature Count,K=30,Random Forest,0.9998,0.9996504107673484,1.0,0.9998251748251749,0.9999997345100826,0.28202128410339355,0.0278165340423584
Feature Count,K=30,LightGBM,1.0,1.0,1.0,1.0,1.0,0.30291175842285156,0.0060498714447021484
Feature Count,K=40,Logistic Regression,0.9984,0.9984268484530676,0.9987760097919217,0.9986013986013986,0.999986071990491,0.06943273544311523,0.0
Feature Count,K=40,Random Forest,0.9998,0.9996504107673484,1.0,0.9998251748251749,0.9999995507093707,0.2773110866546631,0.028704166412353516
Feature Count,K=40,LightGBM,1.0,1.0,1.0,1.0,1.0,0.3415694236755371,0.00817561149597168
Model Param,Standard/Fast,Logistic Regression,0.9982,0.9980779311549887,0.9987760097919217,0.9984268484530676,0.999982518510059,0.06002306938171387,0.0
Model Param,Standard/Fast,Random Forest,0.9999,0.9998251748251749,1.0,0.999912579770959,0.9999997140877813,0.15550494194030762,0.017444133758544922
Model Param,Standard/Fast,LightGBM,0.9998,0.9996504107673484,1.0,0.9998251748251749,1.0,0.1297750473022461,0.005524873733520508
Model Param,Tuned/Heavy,Logistic Regression,0.9985,0.9986013986013986,0.9987760097919217,0.998688696564385,0.9999851325646297,0.052385807037353516,0.0
Model Param,Tuned/Heavy,Random Forest,0.9998,0.9998251442559888,0.9998251442559888,0.9998251442559888,0.999999632398576,0.4069657325744629,0.03787636756896973
Model Param,Tuned/Heavy,LightGBM,1.0,1.0,1.0,1.0,1.0,0.646648645401001,0.014126062393188477
