feature,order
URLLength,0
DomainLength,1
URLSimilarityIndex,2
CharContinuationRate,3
TLDLegitimateProb,4
URLCharProb,5
TLDLength,6
NoOfLettersInURL,7
LetterRatioInURL,8
NoOfDegitsInURL,9
DegitRatioInURL,10
NoOfEqualsInURL,11
NoOfQMarkInURL,12
NoOfOtherSpecialCharsInURL,13
SpacialCharRatioInURL,14
IsHTTPS,15
LineOfCode,16
HasTitle,17
DomainTitleMatchScore,18
URLTitleMatchScore,19
HasFavicon,20
Robots,21
IsResponsive,22
NoOfSelfRedirect,23
HasDescription,24
NoOfiFrame,25
HasExternalFormSubmit,26
HasSocialNet,27
HasSubmitButton,28
HasHiddenFields,29
HasPasswordField,30
Bank,31
Pay,32
Crypto,33
HasCopyrightInfo,34
NoOfImage,35
NoOfJS,36
NoOfSelfRef,37
NoOfEmptyRef,38
NoOfExternalRef,39
